subject,run,consigne,condition,clean_psnr_img,clean_ssim_img,clean_ssim_grad,intra_psnr_img,intra_ssim_img,intra_ssim_grad
sub-04,run-03,shaking,jdac_antiartonly,13.441052398895277,0.39378890505323644,0.38219553083661517,13.31878802724167,0.3952630431853349,0.37478538511852993
sub-04,run-03,shaking,jdac_nodenoise,13.811177936440298,0.4087492752846172,0.37604216535969787,13.52173255726925,0.40509615802945986,0.3589686773586275
sub-05,run-02,nodding,preproc,19.01363038289312,0.7314427786664586,0.594406225848986,19.01363038289312,0.7314427786664586,0.594406225848986
sub-05,run-02,nodding,jdac,19.821100639339697,0.7640650325176319,0.6090495162291356,20.943592456762712,0.8080402664758712,0.6956666955057385
sub-05,run-02,nodding,jdac_antiartonly,19.389564486931672,0.7479647490744182,0.6090676421025667,19.250177029527585,0.7511428083785756,0.6094360975823844
sub-05,run-02,nodding,jdac_nodenoise,19.151319110465053,0.7389268560952239,0.5950793762184958,18.449191566759037,0.7268592154255712,0.5909674209048797
sub-05,run-03,shaking,preproc,13.085628754024494,0.38881406687842684,0.3758840426353876,13.085628754024494,0.38881406687842684,0.3758840426353876
sub-05,run-03,shaking,jdac,13.406434585789915,0.4008297863766663,0.3764846725328394,13.570418853512516,0.4237583702196906,0.40844022432709753
sub-05,run-03,shaking,jdac_antiartonly,13.394180542031757,0.4008384510740179,0.3790212585356608,13.179412637321061,0.402554582029925,0.3715466285477951
sub-05,run-03,shaking,jdac_nodenoise,13.718093257012375,0.4181214104676595,0.3722564249409911,13.44862269788125,0.4106456547730814,0.35486432776456667
sub-06,run-02,nodding,preproc,22.710292821507924,0.8838919009493593,0.7998832952365227,22.710292821507924,0.8838919009493593,0.7998832952365227
sub-06,run-02,nodding,jdac,22.544511151656415,0.8664168315844295,0.7283745213925354,25.658507539737506,0.9292338337905892,0.872058943300564
sub-06,run-02,nodding,jdac_antiartonly,22.88513584093178,0.8930245831201645,0.8108646887566308,22.958062225377148,0.9000698799354495,0.823056610250055
sub-06,run-02,nodding,jdac_nodenoise,21.80367781683295,0.8701601191024227,0.759649958233632,22.083442931792305,0.8939314733103504,0.8207301494603209
sub-06,run-03,shaking,preproc,16.72316941980058,0.6714267216260624,0.5597161292527014,16.72316941980058,0.6714267216260624,0.5597161292527014
sub-06,run-03,shaking,jdac,17.505790348900504,0.6966671933270397,0.557635335840218,18.19231056035082,0.7380809745678386,0.626410040057785
sub-06,run-03,shaking,jdac_antiartonly,16.96726925374459,0.6854389844395992,0.5671267711885574,16.87007252886349,0.6884012038107175,0.5671245458933412
sub-06,run-03,shaking,jdac_nodenoise,17.0880145894512,0.6808591325385304,0.5454929407531743,16.76711466457837,0.6787690306705019,0.5538621705434388
sub-07,run-02,nodding,preproc,17.12165567332276,0.6378492833300762,0.5164884132927225,17.12165567332276,0.6378492833300762,0.5164884132927225
sub-07,run-02,nodding,jdac,17.87660566870779,0.6723551754049611,0.5323353443016683,18.326080761199947,0.7037459589279802,0.5701259928484776
sub-07,run-02,nodding,jdac_antiartonly,17.57399118346629,0.6565083122651866,0.5267725999503525,17.454877771058467,0.6611985705691354,0.5236476528159016
sub-07,run-02,nodding,jdac_nodenoise,17.423122001628215,0.6512233486984406,0.5104086263123468,17.033241920558684,0.6480655815878121,0.5119256430576462
sub-07,run-03,shaking,preproc,13.785450252512817,0.42119098350731204,0.40008925803930395,13.785450252512817,0.42119098350731204,0.40008925803930395
sub-07,run-03,shaking,jdac,14.016547968422666,0.4426568814668238,0.3995922865643471,14.121362862148878,0.45812695421253374,0.41521581236706134
sub-07,run-03,shaking,jdac_antiartonly,13.953335551597384,0.4330858408587737,0.40073469678285445,13.785504353232572,0.43506136485177027,0.3936041493532344
sub-07,run-03,shaking,jdac_nodenoise,14.052262799485497,0.4433376856633043,0.39136879813888653,13.824052187354152,0.4379915554918928,0.377494549049512
sub-08,run-02,nodding,preproc,16.470456055302233,0.6240306110225877,0.5174644542323745,16.470456055302233,0.6240306110225877,0.5174644542323745
sub-08,run-02,nodding,jdac,17.221009605331787,0.6520680370718661,0.5314181597522095,17.663707085196563,0.6847930876729722,0.5710504945965763
