sub,condition,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-06,jdac,run-02,0.18108823529411766,0.32845588235294115,0.25125,0.41507343141660413,0.33198968740925233
sub-06,jdac,run-03,0.2636323529411765,0.3378823529411765,0.25125,0.18726079796110282,0.33198968740925233
sub-06,jdac_antiartonly,run-02,0.17333823529411763,0.2921617647058824,0.25852941176470584,0.3710982869033233,0.33198968740925233
sub-06,jdac_antiartonly,run-03,0.3070588235294118,0.292764705882353,0.25852941176470584,0.23279510287156668,0.33198968740925233
sub-06,jdac_nodenoise,run-02,0.14879411764705885,0.3593823529411765,0.32620588235294123,0.4429446013734277,0.33198968740925233
sub-06,jdac_nodenoise,run-03,0.27597058823529413,0.28605882352941175,0.32620588235294123,0.33747708893717004,0.33198968740925233
sub-07,brut,run-02,0.23195588235294118,0.23195588235294118,0.0,0.2834415064467831,0.3551474103176196
sub-07,brut,run-03,0.31642647058823536,0.31642647058823536,0.0,0.2824616809148636,0.3551474103176196
sub-07,preproc,run-02,0.21177941176470588,0.22274999999999998,0.05679411764705881,0.2940138540959442,0.3551474103176196
sub-07,preproc,run-03,0.33266176470588227,0.3446029411764706,0.05679411764705881,0.23250205423582948,0.3551474103176196
sub-07,jdac,run-02,0.29032352941176476,0.2936029411764705,0.16727941176470587,0.32953109627966304,0.3551474103176196
sub-07,jdac,run-03,0.3338088235294118,0.3644705882352941,0.16727941176470587,0.2889886105584174,0.3551474103176196
sub-07,jdac_antiartonly,run-02,0.28561764705882353,0.23101470588235296,0.13695588235294112,0.3338624820729468,0.3551474103176196
sub-07,jdac_antiartonly,run-03,0.363985294117647,0.3140882352941178,0.13695588235294112,0.30878894116268524,0.3551474103176196
sub-07,jdac_nodenoise,run-02,0.3315735294117647,0.255014705882353,0.20644117647058818,0.3490536946979148,0.3551474103176196
sub-07,jdac_nodenoise,run-03,0.4815735294117647,0.3658970588235294,0.20644117647058818,0.4793835875499822,0.3551474103176196
sub-08,brut,run-02,0.29129411764705876,0.29129411764705876,0.0,0.2790946934158521,0.37500620861117373
sub-08,brut,run-03,0.31367647058823533,0.31367647058823533,0.0,0.3149135544106294,0.37500620861117373
sub-08,preproc,run-02,0.28233823529411767,0.28341176470588236,0.08192647058823532,0.3063730457332819,0.37500620861117373
sub-08,preproc,run-03,0.2698970588235294,0.29761764705882354,0.08192647058823532,0.3546518959428718,0.37500620861117373
sub-08,jdac,run-02,0.34123529411764697,0.37017647058823533,0.1767941176470588,0.36825183050088417,0.37500620861117373
sub-08,jdac,run-03,0.33452941176470585,0.35902941176470593,0.1767941176470588,0.42598761224450765,0.37500620861117373
sub-08,jdac_antiartonly,run-02,0.43226470588235294,0.36447058823529405,0.18050000000000002,0.33728366818902045,0.37500620861117373
sub-08,jdac_antiartonly,run-03,0.3475735294117648,0.34157352941176466,0.18050000000000002,0.42542918576225097,0.37500620861117373
sub-08,jdac_nodenoise,run-02,0.5400588235294117,0.3964705882352941,0.26764705882352946,0.3752217193530722,0.37500620861117373
sub-08,jdac_nodenoise,run-03,0.48358823529411754,0.3372058823529412,0.26764705882352946,0.45800042819851855,0.37500620861117373
sub-09,brut,run-02,0.3226176470588235,0.3226176470588235,0.0,0.3347412570549299,0.379275251233744
sub-09,brut,run-03,0.2656617647058823,0.2656617647058823,0.0,0.24058019932871244,0.379275251233744
sub-09,preproc,run-02,0.37314705882352944,0.35292647058823534,0.08313235294117645,0.3733611775748856,0.379275251233744
sub-09,preproc,run-03,0.23547058823529413,0.26980882352941177,0.08313235294117645,0.26508409055589743,0.379275251233744
sub-09,jdac,run-02,0.4515588235294117,0.4539999999999999,0.2477941176470589,0.37336754629569197,0.379275251233744
sub-09,jdac,run-03,0.24163235294117644,0.3298088235294118,0.2477941176470589,0.31031522391174426,0.379275251233744
sub-09,jdac_antiartonly,run-02,0.5184705882352941,0.4326617647058823,0.17866176470588235,0.3930884420407484,0.379275251233744
sub-09,jdac_antiartonly,run-03,0.2674264705882353,0.24885294117647064,0.17866176470588235,0.27056305669299874,0.379275251233744
sub-09,jdac_nodenoise,run-02,0.5554411764705883,0.42482352941176466,0.24211764705882352,0.2909428449463244,0.379275251233744
sub-09,jdac_nodenoise,run-03,0.32780882352941176,0.2546617647058824,0.24211764705882352,0.2794596001749422,0.379275251233744
sub-10,brut,run-02,0.2206176470588235,0.2206176470588235,0.0,0.24603442150878843,0.40587774225664347
sub-10,brut,run-03,0.4305,0.4305,0.0,0.21264518409683908,0.40587774225664347
sub-10,preproc,run-02,,0.24586764705882355,,0.29597168433484816,0.40587774225664347
sub-10,preproc,run-03,,0.39182352941176474,,0.2318460191641916,0.40587774225664347
sub-10,jdac,run-02,0.27207352941176466,0.3375441176470589,0.1813823529411765,0.33965561885613543,0.40587774225664347
sub-10,jdac_antiartonly,run-02,0.2937647058823529,0.2819705882352941,0.14361764705882354,0.30408420168109374,0.40587774225664347
sub-10,jdac_antiartonly,run-03,0.38316176470588226,0.39295588235294115,0.14361764705882354,0.33095208520891123,0.40587774225664347
sub-10,jdac_nodenoise,run-02,0.2871764705882353,0.2487205882352941,0.21195588235294116,0.38332152963720484,0.40587774225664347
sub-10,jdac_nodenoise,run-03,0.46219117647058827,0.40782352941176464,0.21195588235294116,0.4918294089127512,0.40587774225664347
sub-11,brut,run-02,0.17313235294117646,0.17313235294117646,0.0,0.369084928697647,0.3535804272368904
sub-11,brut,run-03,0.4758382352941176,0.4758382352941176,0.0,0.309626970825113,0.3535804272368904
sub-11,preproc,run-02,0.19570588235294117,0.2212058823529412,0.10402941176470586,0.3625788534017846,0.3535804272368904
sub-11,jdac,run-02,0.1746764705882353,0.2949264705882353,0.24283823529411763,0.43005078691239296,0.3535804272368904
sub-11,jdac_antiartonly,run-02,0.16557352941176476,0.3271911764705882,0.25682352941176473,0.4279700299973631,0.3535804272368904
sub-11,jdac_antiartonly,run-03,0.4589558823529412,0.44392647058823537,0.25682352941176473,0.4027999487673173,0.3535804272368904
sub-11,jdac_nodenoise,run-02,0.1292058823529412,0.4113088235294118,0.3752499999999999,0.45245995534856986,0.3535804272368904
sub-11,jdac_nodenoise,run-03,0.5262205882352943,0.3780294117647059,0.3752499999999999,0.43409770690432836,0.3535804272368904
sub-12,brut,run-02,0.3037352941176471,0.3037352941176471,0.0,0.38816847435925494,0.40593990778898925
sub-12,brut,run-03,0.30719117647058825,0.30719117647058825,0.0,0.28575698799791416,0.40593990778898925
sub-12,preproc,run-02,0.2848676470588235,0.29425,0.10873529411764704,0.39095536504044415,0.40593990778898925
sub-12,preproc,run-03,0.28197058823529403,0.3276470588235294,0.10873529411764704,0.3239117374414311,0.40593990778898925
sub-12,jdac,run-02,0.3635588235294117,0.4410735294117648,0.27998529411764705,0.4406163045456115,0.40593990778898925
sub-12,jdac,run-03,0.30055882352941177,0.40595588235294117,0.27998529411764705,0.31878596803384646,0.40593990778898925
sub-12,jdac_antiartonly,run-02,0.39145588235294115,0.3310441176470588,0.2408529411764706,0.4262690488638779,0.40593990778898925
sub-12,jdac_antiartonly,run-03,0.3631617647058823,0.3108088235294118,0.2408529411764706,0.33482640267721264,0.40593990778898925
sub-12,jdac_nodenoise,run-02,0.3830000000000001,0.3398088235294118,0.30242647058823524,0.4589212242629629,0.40593990778898925
sub-12,jdac_nodenoise,run-03,0.4980441176470588,0.32276470588235295,0.30242647058823524,0.39476951939279137,0.40593990778898925
sub-13,brut,run-02,0.21426470588235294,0.21426470588235294,0.0,0.27325786390216156,0.2852840347185949
sub-13,brut,run-03,0.2178088235294118,0.2178088235294118,0.0,0.2505010536411558,0.2852840347185949
