hemi,region,pente_preproc,offset_jdac,delta_pente,p_inter,model,n_obs,p_fdr
lh,superiorfrontal,-0.056056921094465216,-0.17470508595835796,-0.007541831502267207,0.8241959544188313,mixedlm,131,0.9172928781613785
rh,temporalpole,-0.32806147583434336,0.10871923786491124,0.022528152215808506,0.8349873479286289,mixedlm,131,0.9172928781613785
rh,superiortemporal,-0.17005287956707266,-0.09752048131643422,-0.007374339219788518,0.8373672966807182,mixedlm,131,0.9172928781613785
lh,temporalpole,-0.35526184462400345,0.048311393341817596,0.020375699742357204,0.8471868158637469,mixedlm,131,0.9172928781613785
lh,parahippocampal,-0.17899838052063927,0.016380483620533237,0.0086879905651867,0.8519207259095736,mixedlm,131,0.9172928781613785
rh,middletemporal,-0.17539840769367243,-0.041050442906249374,-0.006493475545044881,0.870195955472836,mixedlm,131,0.9172928781613785
lh,superiortemporal,-0.17252004222517628,-0.12898339802363784,0.005245137361244677,0.8768240747130824,mixedlm,131,0.9172928781613785
lh,fusiform,-0.06773061254917564,-0.04259873395995489,-0.001112365838617076,0.9631639084967714,mixedlm,131,0.9778545377777591
rh,parahippocampal,-0.19522244421148433,-0.04844937203866497,0.0012558250853785223,0.9718355036266157,mixedlm,131,0.9778545377777591
rh,superiorfrontal,-0.02572010696413816,-0.20090287860918427,0.0008969600676544367,0.9778545377777591,mixedlm,131,0.9778545377777591
