arm,hemi,region,beta_agitation,se,p_value,model,n_obs,p_fdr
jdac,lh,temporalpole,-0.31579102080497784,0.09725215701635362,0.0011657250015372263,mixedlm,66,
jdac,lh,transversetemporal,-0.08878649923618336,0.030886336569554224,0.004045132574151703,mixedlm,66,
jdac,rh,bankssts,-0.1559860935854547,0.028662269162550123,5.2623527300163377e-08,mixedlm,66,
jdac,rh,caudalanteriorcingulate,0.04784576324947786,0.0412366829869304,0.24593813396908948,mixedlm,66,
jdac,rh,caudalmiddlefrontal,0.04336222252363736,0.02223497430251662,0.0511545597296339,mixedlm,66,
jdac,rh,cuneus,0.1208719742494676,0.026410807930188063,4.725707111480545e-06,mixedlm,66,
jdac,rh,entorhinal,-0.3076392591001575,0.08305459634334673,0.00021217552477104684,mixedlm,66,
jdac,rh,frontalpole,-0.07295937556473779,0.08290702013425946,0.3788514826788919,mixedlm,66,
jdac,rh,fusiform,-0.09970692485760778,0.024932158804461497,6.357596268733038e-05,mixedlm,66,
jdac,rh,inferiorparietal,-0.02008761580497688,0.021049537280147194,0.3399307892464074,mixedlm,66,
jdac,rh,inferiortemporal,-0.1450361131024628,0.029089225901403355,6.16724855345654e-07,mixedlm,66,
jdac,rh,insula,-0.17822323130001858,0.04250546488527805,2.7535179797770978e-05,mixedlm,66,
jdac,rh,isthmuscingulate,0.05272807262831469,0.029904803770941017,0.07786720005726655,mixedlm,66,
jdac,rh,lateraloccipital,0.030218993212632873,0.027162077829005506,0.26590453652563495,mixedlm,66,
jdac,rh,lateralorbitofrontal,0.020254610201856867,0.034645502621419286,0.558800219427542,mixedlm,66,
jdac,rh,lingual,0.16439453370697168,0.02291858968504474,7.338378764305547e-13,mixedlm,66,
jdac,rh,medialorbitofrontal,0.022356428354385106,0.04316572808207444,0.6045135300811595,mixedlm,66,
jdac,rh,middletemporal,-0.1707016873828172,0.03285573898807003,2.0418050957834085e-07,mixedlm,66,
jdac,rh,paracentral,0.012438939299828842,0.021995861069788583,0.5717250725245857,mixedlm,66,
jdac,rh,parahippocampal,-0.18850626059346975,0.028709911205862793,5.172127560621287e-11,mixedlm,66,
jdac,rh,parsopercularis,-0.018735745072403505,0.031615599719662345,0.5534416659551611,mixedlm,66,
jdac,rh,parsorbitalis,-0.05296528229288959,0.045658522215078774,0.24603635334907903,mixedlm,66,
jdac,rh,parstriangularis,0.04377364850696322,0.03600011874669035,0.22401133354469283,mixedlm,66,
jdac,rh,pericalcarine,0.22022352878971915,0.029974432147958568,2.0263530046896798e-13,mixedlm,66,
jdac,rh,postcentral,0.029989902255087346,0.018383532130591473,0.10281732482799089,mixedlm,66,
jdac,rh,posteriorcingulate,0.01632216506136454,0.02412064321764549,0.498603530717311,mixedlm,66,
jdac,rh,precentral,0.012683543206515312,0.02231782804844237,0.5698214982683116,mixedlm,66,
jdac,rh,precuneus,0.03364287565608748,0.01901712949081921,0.07688006686775499,mixedlm,66,
jdac,rh,rostralanteriorcingulate,-0.18718755127502545,0.04927743160930229,0.00014548832657358142,mixedlm,66,
jdac,rh,rostralmiddlefrontal,0.10096275606778819,0.029174185850803662,0.0005387967909125171,mixedlm,66,
jdac,rh,superiorfrontal,-0.025378168507525757,0.02371778766434028,0.2846167332572087,mixedlm,66,
jdac,rh,superiorparietal,0.05595646945231267,0.01885992646481937,0.003007693153952569,mixedlm,66,
jdac,rh,superiortemporal,-0.15922959276047685,0.033264743404788806,1.695143621575973e-06,mixedlm,66,
jdac,rh,supramarginal,-0.04718599209818603,0.021965227464022033,0.03169682068692922,mixedlm,66,
jdac,rh,temporalpole,-0.30330954357842266,,,mixedlm,66,
jdac,rh,transversetemporal,-0.0733650159442078,0.03343805327286369,0.02823126669602705,mixedlm,66,
