condition,identifier,aseg_found,lh_aparc_found,rh_aparc_found,stats_dir
preproc,sub-19_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-19_run-02/stats
preproc,sub-19_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-19_run-03/stats
preproc,sub-20_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-20_run-01/stats
preproc,sub-20_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-20_run-02/stats
preproc,sub-20_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-20_run-03/stats
preproc,sub-21_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-21_run-01/stats
preproc,sub-21_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-21_run-02/stats
preproc,sub-21_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-21_run-03/stats
preproc,sub-22_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-22_run-01/stats
preproc,sub-22_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-22_run-02/stats
preproc,sub-22_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-22_run-03/stats
jdac,sub-01_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-01_run-01/stats
jdac,sub-01_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-01_run-02/stats
jdac,sub-01_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-01_run-03/stats
jdac,sub-02_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-02_run-01/stats
jdac,sub-02_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-02_run-02/stats
jdac,sub-02_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-02_run-03/stats
jdac,sub-03_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-03_run-01/stats
jdac,sub-03_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-03_run-02/stats
jdac,sub-03_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-03_run-03/stats
jdac,sub-04_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-04_run-01/stats
jdac,sub-04_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-04_run-02/stats
jdac,sub-04_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-04_run-03/stats
jdac,sub-05_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-05_run-01/stats
jdac,sub-05_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-05_run-02/stats
jdac,sub-05_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-05_run-03/stats
jdac,sub-06_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-06_run-01/stats
jdac,sub-06_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-06_run-02/stats
jdac,sub-06_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-06_run-03/stats
jdac,sub-07_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-07_run-01/stats
jdac,sub-07_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-07_run-02/stats
jdac,sub-07_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-07_run-03/stats
jdac,sub-08_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-08_run-01/stats
jdac,sub-08_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-08_run-02/stats
jdac,sub-08_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-08_run-03/stats
jdac,sub-09_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-09_run-01/stats
jdac,sub-09_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-09_run-02/stats
jdac,sub-09_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-09_run-03/stats
jdac,sub-10_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-10_run-01/stats
