subject,method,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-16,jdac,run-02,0.3184117647058824,0.3580588235294118,0.1745294117647058,0.3993810795564034,0.3425527060950314
sub-16,jdac,run-03,0.31,0.359235294117647,0.1745294117647058,0.2771636220677549,0.3425527060950314
sub-16,jdac_antiartonly,run-02,0.2658235294117647,0.2470882352941176,0.1351176470588235,0.3247372544997766,0.3425527060950314
sub-16,jdac_antiartonly,run-03,0.2879117647058824,0.2696470588235294,0.1351176470588235,0.2925755434740866,0.3425527060950314
sub-16,jdac_nodenoise,run-02,0.2319705882352941,0.2692352941176471,0.2075588235294118,0.3866934024946942,0.3425527060950314
sub-16,jdac_nodenoise,run-03,0.3331617647058822,0.2879558823529411,0.2075588235294118,0.4036855176329958,0.3425527060950314
sub-17,brut,run-02,0.20625,0.20625,0.0,0.278914802147344,0.3146622951115711
sub-17,brut,run-03,0.2256764705882352,0.2256764705882352,0.0,0.2725194292756904,0.3146622951115711
sub-17,preproc,run-02,0.2015735294117647,0.2325294117647058,0.064720588235294,0.3159864690760621,0.3146622951115711
sub-17,preproc,run-03,0.1958529411764706,0.2073382352941176,0.064720588235294,0.2829487504667472,0.3146622951115711
sub-17,jdac,run-02,0.2487647058823529,0.3067499999999999,0.2623088235294117,0.3343210812705563,0.3146622951115711
sub-17,jdac,run-03,0.1913676470588236,0.3053529411764706,0.2623088235294117,0.2892590243071216,0.3146622951115711
sub-17,jdac_antiartonly,run-02,0.31325,0.2295,0.3148970588235293,0.3120841563298807,0.3146622951115711
sub-17,jdac_antiartonly,run-03,0.2756911764705882,0.2406470588235294,0.3148970588235293,0.2811772754478399,0.3146622951115711
sub-17,jdac_nodenoise,run-02,0.3715,0.2233529411764705,0.4073823529411764,0.2934143333704351,0.3146622951115711
sub-17,jdac_nodenoise,run-03,0.3095588235294118,0.2037941176470588,0.4073823529411764,0.3152976825503129,0.3146622951115711
sub-18,brut,run-02,0.2300882352941176,0.2300882352941176,0.0,0.3499039414149759,0.3890835566397146
sub-18,brut,run-03,0.2686176470588235,0.2686176470588235,0.0,0.2831525941459021,0.3890835566397146
sub-18,preproc,run-02,0.2250294117647059,0.2470735294117647,0.0987794117647058,0.3833820165737217,0.3890835566397146
sub-18,preproc,run-03,0.2209117647058823,0.2701911764705882,0.0987794117647058,0.2655150720992172,0.3890835566397146
sub-18,jdac,run-02,0.2577941176470588,0.3193088235294117,0.2073970588235294,0.4256202113513865,0.3890835566397146
sub-18,jdac,run-03,0.284014705882353,0.3551176470588235,0.2073970588235294,0.2508834679415755,0.3890835566397146
sub-18,jdac_antiartonly,run-02,0.2339558823529411,0.2247794117647059,0.1425294117647058,0.3459381497724041,0.3890835566397146
sub-18,jdac_antiartonly,run-03,0.2684117647058824,0.2555882352941176,0.1425294117647058,0.2640518678927771,0.3890835566397146
sub-18,jdac_nodenoise,run-02,0.2260294117647058,0.2761176470588234,0.2100882352941176,0.3341725251399111,0.3890835566397146
sub-18,jdac_nodenoise,run-03,0.2977794117647059,0.2655147058823529,0.2100882352941176,0.255485460791865,0.3890835566397146
sub-19,brut,run-02,0.2094558823529411,0.2094558823529411,0.0,0.2800946205983747,0.3693687027706588
sub-19,brut,run-03,0.2398529411764705,0.2398529411764705,0.0,0.2316242657470925,0.3693687027706588
sub-19,preproc,run-02,0.1633676470588235,0.1969705882352941,0.0706911764705882,0.2829744165337967,0.3693687027706588
sub-19,preproc,run-03,0.1912058823529411,0.2377205882352941,0.0706911764705882,0.2453894594935836,0.3693687027706588
sub-19,jdac,run-02,0.2181470588235294,0.2644999999999999,0.1660882352941176,0.2872197825149834,0.3693687027706588
sub-19,jdac,run-03,0.2497058823529412,0.3117647058823529,0.1660882352941176,0.2580442223263904,0.3693687027706588
sub-19,jdac_antiartonly,run-02,0.1902205882352941,0.19725,0.1165294117647058,0.2851751244835913,0.3693687027706588
sub-19,jdac_antiartonly,run-03,0.25825,0.2586911764705882,0.1165294117647058,0.2553314240047324,0.3693687027706588
sub-19,jdac_nodenoise,run-02,0.1783970588235294,0.2243823529411764,0.1691617647058823,0.327675459837637,0.3693687027706588
sub-19,jdac_nodenoise,run-03,0.2667941176470588,0.2701029411764706,0.1691617647058823,0.3276217223816134,0.3693687027706588
sub-20,brut,run-02,0.2193529411764706,0.2193529411764706,0.0,0.3314386481390573,0.3826488781632761
sub-20,brut,run-03,0.3393382352941176,0.3393382352941176,0.0,0.2605159566174913,0.3826488781632761
sub-20,preproc,run-02,0.2053676470588235,0.2460588235294117,0.1148676470588235,0.3436012307176132,0.3826488781632761
sub-20,preproc,run-03,0.289235294117647,0.3549558823529412,0.1148676470588235,0.2359834613481435,0.3826488781632761
sub-20,jdac,run-02,0.2140882352941176,0.3218235294117647,0.214735294117647,0.3926849505249017,0.3826488781632761
sub-20,jdac,run-03,0.367735294117647,0.4754999999999999,0.214735294117647,0.3284623991106128,0.3826488781632761
sub-20,jdac_antiartonly,run-02,0.2671617647058823,0.2639999999999999,0.2356617647058823,0.4152349903782389,0.3826488781632761
sub-20,jdac_antiartonly,run-03,0.3866911764705882,0.3724411764705881,0.2356617647058823,0.3239974484096191,0.3826488781632761
sub-20,jdac_nodenoise,run-02,0.2324999999999999,0.287264705882353,0.3092058823529413,0.431329712766247,0.3826488781632761
sub-20,jdac_nodenoise,run-03,0.4040882352941176,0.3357058823529412,0.3092058823529413,0.324007390454846,0.3826488781632761
sub-21,brut,run-02,0.2931911764705882,0.2931911764705882,0.0,0.3610002039865272,0.4156481203673143
sub-21,brut,run-03,0.3520147058823529,0.3520147058823529,0.0,0.2504375779816609,0.4156481203673143
sub-21,preproc,run-02,0.2573529411764706,0.2745441176470588,0.062985294117647,0.3525482037290646,0.4156481203673143
sub-21,preproc,run-03,0.3136470588235294,0.3308382352941176,0.062985294117647,0.2731599767807092,0.4156481203673143
sub-21,jdac,run-02,0.3044705882352941,0.3765294117647059,0.2500588235294117,0.3690042767739099,0.4156481203673143
sub-21,jdac,run-03,0.3171323529411764,0.3911911764705882,0.2500588235294117,0.2555734909228869,0.4156481203673143
sub-21,jdac_antiartonly,run-02,0.3413382352941176,0.2986176470588235,0.2258382352941176,0.410372028690454,0.4156481203673143
sub-21,jdac_antiartonly,run-03,0.3251617647058822,0.3328529411764706,0.2258382352941176,0.2739187731668636,0.4156481203673143
sub-21,jdac_nodenoise,run-02,0.370470588235294,0.2792205882352941,0.3233382352941176,0.3444455696318093,0.4156481203673143
sub-21,jdac_nodenoise,run-03,0.4442647058823528,0.3031911764705882,0.3233382352941176,0.3128143465511978,0.4156481203673143
sub-22,brut,run-02,0.3318382352941176,0.3318382352941176,0.0,0.3469943539174242,0.3825378962904615
sub-22,brut,run-03,0.3350882352941177,0.3350882352941177,0.0,0.2331583370597631,0.3825378962904615
sub-22,preproc,run-02,0.3416764705882353,0.3402205882352941,0.16825,0.35758553806395,0.3825378962904615
sub-22,preproc,run-03,0.2440147058823529,0.3083529411764706,0.16825,0.2342062393594002,0.3825378962904615
sub-22,jdac,run-02,0.5507205882352942,0.3948235294117647,0.5079264705882354,0.3780202887072011,0.3825378962904615
sub-22,jdac,run-03,0.4234264705882353,0.3493235294117647,0.5079264705882354,0.398145711620981,0.3825378962904615
sub-22,jdac_antiartonly,run-02,0.7191764705882353,0.4225147058823529,0.5024264705882353,0.469930418139631,0.3825378962904615
